Event ,Zone,Region,Category,Start Date,End Date,Fatalities,Injured
Bushfire - New South Wales 1974,New South Wales,"Bourke , Hillston , Swan Hill (NSW) , Sydney",Bushfire,1/12/1974,1/2/1975,3,N/A
Bushfire - Lara and Melbourne Fringe,Victoria,Wilsons Promontory,Bushfire,8/1/1969,9/1/1969,23,100
Bushfire - Blue Mountains and Illawarra,New South Wales,Sydney,Bushfire,15/10/1968,3/12/1968,14,N/A
Bushfire - Black Tuesday Tasmania,Tasmania,"Hobart , Launceston",Bushfire,7/2/1967,7/2/1967,62,N/A
Bushfire - Gippsland,Victoria,"Cooma (VIC) , Melbourne",Bushfire,15/2/1965,13/3/1965,3,N/A
Bushfire - Longwood District,Victoria,Melbourne,Bushfire,17/1/1965,17/1/1965,7,N/A
Bushfire - Southern Victoria and Dandenong Ranges,Victoria,Melbourne,Bushfire,14/1/1962,16/2/1962,8,N/A
Bushfire - Wandilo,South Australia,Mount Gambier (SA),Bushfire,5/4/1958,6/4/1958,8,3
Bushfire - Blue Mountains and Sydney Region,New South Wales,Sydney,Bushfire,30/11/1957,4/12/1957,4,N/A
"Bushfire - Black Sunday, Mt Lofty Ranges",South Australia,Adelaide,Bushfire,2/1/1955,2/1/1955,2,N/A
Bushfire - Narollah Station,Queensland,Charters Towers,Bushfire,14/11/1954,14/11/1954,3,N/A
Bushfire - Central and Southern Victoria,Victoria,Melbourne,Bushfire,1/1/1952,1/3/1952,10,N/A
Bushfire - Australian Capital Territory and South-West New South Wales,New South Wales,"Canberra (NSW) , Dubbo , Hillston",Bushfire,1/11/1951,31/1/1952,13,N/A
Bushfire - Sydney and Southern New South Wales,New South Wales,"Cooma (NSW) , Sydney , Wollongong",Bushfire,13/1/1939,14/1/1939,6,N/A
Bushfire - Black Friday ,"New South Wales , Australian Capital Territory , Victoria , South Australia , Tasmania","Wollongong , Canberra (ACT) , Mount Gambier (VIC) , Murray Bridge (VIC) , Wilsons Promontory , Mount Gambier (SA) , Launceston , Melbourne",Bushfire,13/1/1939,20/1/1939,71,N/A
Bushfire - Gippsland,Victoria,Melbourne,Bushfire,4/2/1932,28/2/1932,9,N/A
Bushfire - Central Western NSW and Southern QLD,"Queensland , New South Wales","Brisbane , Canberra (NSW) , Dubbo , Lismore (NSW)",Bushfire,1/10/1926,17/12/1926,8,N/A
Bushfire - South East Victoria,Victoria,Melbourne,Bushfire,1/2/1926,10/3/1926,60,N/A
Bushfire - Saltern Creek,Queensland,Longreach,Bushfire,16/9/1918,30/12/1918,5,N/A
Bushfire - Warenda Station Hughenden,Queensland,Boulia,Bushfire,29/9/1917,29/9/1917,3,N/A
Bushfire - Western Australia,Western Australia,"Bridgetown, Shackleton, Bayview Rise, Narrogin East ",Bushfire,5/2/2022,15/2/2022,N/A,N/A
Bushfire - Widespread Victoria,Victoria,"Cooma (VIC) , Mount Gambier (VIC) , Wilsons Promontory , Melbourne",Bushfire,1/1/1906,15/2/1906,12,N/A
"Criminal Act - Bourke Street Mall Incident, 2017",Victoria,Melbourne,Criminal Act,20/1/2017,,6,37
"Criminal Act - Lindt Cafe siege, 2014",New South Wales,sydney,Criminal Act,15/12/2014,16/12/2014,3,N/A
"Criminal Act - Marriott and Ritz-Carlton hotel bombings, 2009",Offshore,Outside Territorial Waters,Criminal Act,17/7/2009,,9,53
Criminal Act - Bali Bombings,Offshore,Outside Territorial Waters,Criminal Act,1/10/2005,1/10/2005,20,130
