Event ,Zone,Region,Category,Start Date,End Date,Fatalities,Injured
Flood - Northern New South Wales,New South Wales,Lismore (NSW),Flood,20/5/2009,23/5/2009,1,N/A
Flood - Mid and North Coast ,New South Wales,Tamworth,Flood,31/3/2009,2/4/2009,N/A,N/A
Flood - North Queensland,Queensland,"Cairns , Townsville",Flood,31/1/2009,7/2/2009,1,N/A
Flood - North Queensland ,Queensland,"Cairns , Townsville",Flood,12/1/2009,14/2/2009,N/A,N/A
Flood - Mackay,Queensland,"Blackall , Bundaberg , Cairns , Cape York , Charters Towers , Clermont , Cooktown , Croydon , Longreach , Mackay , Mitchell River , Normanton , Rockhampton , Taroom , Townsville , Weipa",Flood,14/2/2008,17/2/2008,N/A,N/A
Flood - South East Queensland,Queensland,"Blackall , Bundaberg , Cairns , Cape York , Charters Towers , Clermont , Cooktown , Croydon , Longreach , Mackay , Mitchell River , Normanton , Rockhampton , Taroom , Tibooburra (QLD) , Townsville , Weipa",Flood,10/2/2008,18/2/2008,N/A,N/A
Flood - North Coast New South Wales ,New South Wales,Lismore (NSW),Flood,4/1/2008,11/1/2008,N/A,N/A
Flood - Queensland,Queensland,"Ayr , Birdsville , Blackall , Boulia , Cairns , Cape York , Charleville , Charters Towers , Clermont , Cooktown , Coringa Islets , Croydon , Cunnamulla (QLD) , Eromanga , Longreach , Mackay , Mitchell River , Moree (QLD) , Mornington Island , Mount Isa , Normanton , Osprey Reef , Richmond , Rockhampton , Roma , Taroom , Tibooburra (QLD) , Townsville , Weipa , Windorah , Winton",Flood,1/1/2008,31/1/2008,N/A,N/A
Flood - South East Queensland ,Queensland,"Brisbane , Lismore (QLD)",Flood,27/12/2007,7/1/2008,N/A,N/A
Flood - Gippsland,Victoria,"Cooma (VIC) , Wilsons Promontory , Melbourne",Flood,27/6/2007,2/7/2007,1,N/A
Flood - Gawler river,South Australia,Gawler River,flood,8/11/2005,,N/A,N/A
Flood - North East New South Wales,New South Wales,Lismore (NSW),Flood,29/6/2005,30/6/2005,1,N/A
Flood - South East Queensland,Queensland,Lismore (QLD),Flood,29/6/2005,30/6/2005,2,N/A
"Flood - Brisbane, Sunshine Coast, and Gold Coast",Queensland,Brisbane,Flood,9/3/2001,11/3/2001,2,N/A
"Flood - Grafton, Kempsey and North Coast New South Wales ",New South Wales,"Lismore (NSW) , Tamworth",Flood,5/3/2001,12/3/2001,N/A,N/A
Flood - North and Central Queensland,Queensland,"Cairns , Townsville",Flood,5/2/2000,28/2/2000,N/A,10
Flood - Melbourne and Central Victoria,Victoria,Melbourne,Flood,26/12/1999,28/12/1999,N/A,N/A
Flood - Switzerland Gorge Flash Flood,Offshore,Outside Territorial Waters,Flood,27/7/1999,28/7/1999,21,N/A
Flood - Sydney and Wollongong,New South Wales,"Sydney , Wollongong",Flood,17/8/1998,19/8/1998,1,N/A
Flood - Katherine Floods,Northern Territory,Katherine,Flood,25/1/1998,2/2/1998,3,30
Flood - Townsville,Queensland,"Cairns , Townsville",Flood,10/1/1998,12/1/1998,1,N/A
Flood - Southern Queensland and Northern New South Wales,"Queensland , New South Wales","Brisbane , Lismore (NSW)",Flood,1/5/1996,9/5/1996,5,20
Flood - North-Eastern Victoria,Victoria,Melbourne,Flood,3/10/1993,4/10/1993,N/A,N/A
"Flood - Gnarr Creek, Ballarat",Victoria,Melbourne,Flood,16/12/1991,18/12/1991,N/A,N/A
Flood - Boonah,Queensland,Brisbane,Flood,7/2/1991,11/2/1991,3,10
Flood - Gulf Country ,Queensland,"Cairns , Rockhampton",Flood,23/12/1990,7/1/1991,6,N/A
"Flood - Queensland - Charleville, New South Wales - Nyngan, Victoria - Gippsland",National,"Brisbane , Lismore (NSW) , Melbourne",Flood,18/4/1990,30/4/1990,6,60
"Flood - Gympie, Southern Queensland, and Eastern New South Wales",Queensland,"Brisbane , Lismore (QLD)",Flood,25/4/1989,30/4/1989,3,N/A
Flood - Lismore,New South Wales,Lismore (NSW),Flood,7/4/1988,12/4/1988,N/A,N/A
Flood - Alice Springs and Central NT,Northern Territory,Alice Springs,Flood,31/3/1988,2/4/1988,3,N/A
Flood - Sydney,New South Wales,Sydney,Flood,4/8/1986,6/8/1986,6,N/A
Flood - Sydney,New South Wales,Sydney,Flood,8/11/1984,8/11/1984,N/A,N/A
Flood - Dalby,Queensland,Brisbane,Flood,1/2/1981,1/2/1981,1,5
"Flood - Sydney, Newcastle and Wollongong",New South Wales,Sydney,Flood,10/2/1978,10/2/1978,6,N/A
Flood - Sydney,New South Wales,Sydney,Flood,9/3/1975,9/3/1975,N/A,N/A
Flood - Western Sydney,New South Wales,Sydney,Flood,24/4/1974,24/4/1974,1,N/A
Flood - Brisbane River,Queensland,Brisbane,Flood,25/1/1974,29/1/1974,13,300
Flood - Eastern Australia,"Queensland , New South Wales , South Australia , Tasmania , Victoria","Brisbane , Dubbo , Lismore (NSW) , Sydney , Tamworth , Wollongong , Coober Pedy , Oodnadatta , Launceston , Melbourne",Flood,25/1/1974,1/4/1974,14,N/A
"Flood - Queensland, Northern Territory and Western Australia",Queensland,"Birdsville , Cooktown , Longreach , Mornington Island , Mount Isa",Flood,2/3/1973,30/3/1973,N/A,N/A
Flood - Woden Valley,Australian Capital Territory,Canberra (ACT),Flood,26/1/1971,26/1/1971,7,15
Flood - Central Coast,Queensland,"Ayr , Charters Towers , Mackay , Townsville",Flood,16/2/1958,24/2/1958,3,N/A
Flood - Murray River,South Australia,Murray Bridge (SA),Flood,8/6/1956,1/12/1956,N/A,N/A
Flood - Hunter Valley ,New South Wales,Sydney,Flood,22/2/1955,28/2/1955,24,N/A
Flood - Northern New South Wales ,New South Wales,Lismore (NSW),Flood,20/2/1954,24/2/1954,22,N/A
Flood - Eastern New South Wales,New South Wales,Sydney,Flood,1/6/1950,30/6/1950,5,N/A
"Flood - Sydney, North Coast, and North Western Districts",New South Wales,Sydney,Flood,16/1/1950,19/1/1950,10,N/A
Flood - Burdekin River,Queensland,"Ayr , Townsville",Flood,7/4/1940,9/4/1940,3,N/A
"Flood - Melbourne, Yarra Valley",Victoria,"Cooma (VIC) , Wilsons Promontory , Melbourne",Flood,30/11/1934,2/12/1934,36,N/A
Flood - Widespread Queensland,Queensland,"Blackall , Cairns , Charleville , Charters Towers , Longreach , Mackay , Mount Isa , Townsville , Winton",Flood,20/1/1930,30/1/1930,6,N/A
Flood - Tasmania,Tasmania,"Hobart , Launceston",Flood,3/4/1929,6/4/1929,22,N/A
Flood - Widespread Coastal,Queensland,"Brisbane , Cairns , Lismore (QLD) , Townsville",Flood,20/2/1929,28/2/1929,3,N/A
Flood - Queensland South Coast,"Queensland , New South Wales","Brisbane , Dubbo",Flood,18/4/1928,24/4/1928,9,N/A
Flood - South East Queensland,Queensland,Brisbane,Flood,14/2/1928,22/2/1928,5,N/A
"Flood - Toowoomba, Miles, Cairns, and Townsville",Queensland,"Brisbane , Cairns , Roma , Townsville",Flood,10/2/1927,17/2/1927,47,N/A
"Flood - Toowoomba, Miles, Cairns, and Townsville",Queensland,Cairns,Flood,9/2/1927,16/2/1927,47,N/A
Flood - Hughenden,Queensland,Hughenden,Flood,1/1/1917,10/1/1917,5,N/A
Flood - Clermont and Peak Downs,Queensland,Clermont,Flood,27/12/1916,27/12/1916,61,N/A
Bolwara Flood,New South Wales,Bolwarra,Flood,15/7/1857,31/7/1857,26,N/A
Flood - Melbourne and Victoria ,Victoria,Melbourne,Flood,29/11/1934,1/12/1934,36,400
"Flood - Flooding, New South Wales",New South Wales,Northern Rivers,Flood,22/2/2022,,N/A,N/A
Flood - Rainfall and Flooding,Queensland,South East Queensland,Flood,22/2/2022,7/3/2022,N/A,N/A
Flood - Severe Flooding from (ex) Tropical Cyclone Tiffany ,South Australia,South Australia,Flood,21/1/2022,3/2/2022,N/A,N/A
Flood - Geelong,Victoria,Geelong,Flood,27/1/2015,27/1/2015,N/A,N/A
Flood - Nowra Flood,New South Wales,Nowra,Flood,11/02/1860,25/2/1860,16,N/A
Industrial - Longford Gas explision,Victoria,"Bass Strait , Mount Gambier (VIC) , Wilsons Promontory , Melbourne",Industrial,25/9/1998,14/10/1998,2,8
Industrial - Bulli Mine,New South Wales,Wollongong,Industrial,23/03/1887,23/03/1887,81,3
Industrial - Dudley Mine,New South Wales,Sydney,Industrial,21/03/1898,21/03/1898,15,N/A
Industrial - Broken Hill Mine Collapse,New South Wales,Broken Hill,Industrial,18/07/1895,18/07/1895,9,1
Industrial - Creswick Gold Mine,Victoria,Melbourne,Industrial,12/12/1882,12/12/1882,22,N/A
"Swanston Street wall collapse, 2013",Victoria,Melbourne,Industrial,29/3/2013,,3,8
"Industrial – Pike River Mine, New Zealand",Offshore,Outside Territorial Waters,Industrial,19/11/2010,26/11/2010,29,2
Industrial - Savage River Mine Fire,Tasmania,Savage River,Industrial,21/6/2006,,N/A,N/A
Industrial - Gladstone Factory Explosion,South Australia,Whyalla,Industrial,9/5/2006,9/5/2006,3,2
Industrial - Beaconsfield Mine,Tasmania,Launceston,Industrial,25/4/2006,9/5/2006,1,2
Industrial - Bellevue Hazardous Waste Fire,Western Australia,Perth,Industrial,15/2/2001,17/2/2001,N/A,130
Industrial -Kalgoorlie Mine Collapse,Western Australia,Kalgoorlie,Industrial,26/6/2000,26/6/2000,3,8
Industrial - Hunter Valley Silo Explosion,New South Wales,Sydney,Industrial,6/12/1999,6/12/1999,3,1
Industrial - North Parkes Mine,New South Wales,Dubbo,Industrial,24/11/1999,24/11/1999,4,N/A
Industrial- Hazardous material incident,Victoria,Melbourne,Industrial,21/2/2005,21/2/2005,N/A,57
Industrial - Structure Collapse,South Australia,Adelaide,Industrial,6/8/1996,6/8/1996,N/A,50
Industrial - Moura Mine,Queensland,Taroom,Industrial,7/8/1994,7/8/1994,11,N/A
Industrial - South Bulli Coal Mine,New South Wales,Wollongong,Industrial,24/7/1991,24/7/1991,3,N/A
Industrial - Coode Island,Victoria,Melbourne,Industrial,21/7/1991,,2,N/A
Industrial - Western Main,New South Wales,Hillston,Industrial,29/5/1991,29/5/1991,3,N/A
Industrial - Leinster Mine Flood,Western Australia,Wiluna,Industrial,13/6/1989,13/6/1989,6,N/A
"Industrial - Boiling liquid expanding vapour explosion (BLEVE), Cairns ",Queensland,Cairns,Industrial,1/8/1987,1/8/1987,1,27
Industrial - Moura Mine,Queensland,Taroom,Industrial,16/7/1986,16/7/1986,12,N/A
Industrial - Poisonous gases HMAS Stalwart,Offshore,Territorial Waters,Industrial,22/10/1985,,3,60
Industrial - Appin Mine Explosion,New South Wales,Wollongong,Industrial,24/7/1979,24/7/1979,14,N/A
Industrial - Kianga Mine,Queensland,Taroom,Industrial,20/9/1975,20/9/1975,13,N/A
Industrial - Mount St Canice,Tasmania,Hobart,Industrial,5/9/1974,5/9/1974,8,17
Industrial - Box Flat Mine Ipswich,Queensland,Brisbane,Industrial,31/7/1972,31/7/1972,18,17
Industrial - Blackmans Flat,New South Wales,Dubbo,Industrial,1/1/1972,1/1/1972,3,N/A
"Industrial - Westgate Bridge Collapse, Melbourne",Victoria,Melbourne,Industrial,15/10/1970,15/10/1970,35,N/A
Industrial â€“ Wyee State Mine,New South Wales,Sydney,Industrial,21/10/1966,21/10/1966,5,N/A
Industrial â€“ Melbourne Crane Collapse,Victoria,Melbourne,Industrial,1/10/1961,1/10/1961,3,N/A
Industrial - Collinsville Mine,Queensland,Mackay,Industrial,13/10/1954,13/10/1954,7,2
Industrial - Balmain colliery,New South Wales,Balmain,Industrial,20/4/1945,,3,2
Industrial - Woodend Mine,Queensland,Brisbane,Industrial,1/2/1945,1/2/1945,4,N/A
Industrial - Redhead Colliery,New South Wales,Sydney,Industrial,21/1/1926,21/1/1926,5,N/A
Industrial - Bellbird Colliery,New South Wales,Sydney,Industrial,1/9/1923,1/9/1923,21,N/A
Industrial - Mount Mulligan Mine ,Queensland,Cairns,Industrial,19/9/1921,19/9/1921,75,N/A
Industrial - Great Extended Hustler's Mine explosion,Victoria,Bendigo,Industrial,2/5/1914,,7,N/A
Industrial - Queenstown Copper Mine Fire,Tasmania,Hobart,Industrial,12/10/1912,12/10/1912,42,N/A
Industrial - Stanford Merthyr Mine ,New South Wales,Sydney,Industrial,29/10/1905,29/10/1905,6,N/A
Industrial - Charters Towers mine 1904,Queensland,Charters Towers,Industrial,14/10/1904,14/10/1904,7,N/A
Industrial - Burwood Colliery,New South Wales,Sydney,Industrial,13/11/1901,13/11/1901,3,N/A
Industrial - Balmain mining fall,New South Wales,Balmain,Industrial,17/3/1900,,5,1
Industrial - Greta Colliery Fire,New South Wales,Sydney,Industrial,5/12/1900,5/12/1900,5,N/A
Industrial - Varanus Island Gas Explosion,Western Australia,Dampier,Industrial,3/6/2008,3/6/2008,N/A,N/A
Industrial - Newcastle Toxic Fume Leak,New South Wales,Sydney,Industrial,30/3/2006,30/3/2006,N/A,37
Industrial - Tullamarine Chemical Spill,Victoria,Melbourne,Industrial,29/10/2004,29/10/2004,N/A,28
Industrial - Kakadu Mine Uranium Leak,Northern Territory,Kakadu,Industrial,23/3/2004,23/3/2004,N/A,28
Industrial - MV Nego Kim,Western Australia,Dampier,Industrial,18/11/2001,18/11/2001,8,N/A
Industrial - HMAS Westralia (II),Western Australia,Perth,Industrial,5/5/1998,5/5/1998,4,9
Industrial - HMAS Tarakan Explosion,New South Wales,Sydney,Industrial,25/1/1950,25/1/1950,8,12
Industrial - Wonthaggi Gas Explosion,Victoria,Wilsons Promontory,Industrial,15/2/1937,15/2/1937,13,N/A
Industrial - Mt Kembla Gas Explosion,New South Wales,Wollongong,Industrial,31/7/1902,31/7/1902,96,N/A
Landslide - Somersby ,New South Wales,Sydney,Landslide,8/6/2007,8/6/2007,5,N/A
Landslide - Thredbo,New South Wales,Canberra (NSW),Landslide,30/7/1997,30/7/1997,18,1
Landslide - Gracetown,Western Australia,Gracetown,Landslide,27/9/1996,28/9/1996,9,3
Landslide - Adelaide Hills,South Australia,Adelaide,Landslide,31/1/1928,31/1/1928,6,3
Other Disasters- Cowra POW Attempted Mass Escape,New South Wales,Dubbo,Other Disasters,5/8/1944,`,231,108
Other Disasters - Wartime Bombing Raids,Northern Territory,Darwin,Other Disasters,19/2/1942,19/2/1942,243,400
"Severe Storm - Thunderstorm Asthma, 2016",Victoria,Melbourne,Storm,21/11/2016,22/11/2016,9,8000
"Severe Storm - Extreme weather and statewide power failure, South Australia, 2016",South Australia,South Australia,Storm,28/9/2016,1/11/2016,N/A,N/A
"Hail - North Sydney hailstorm, 2017",New South Wales,North sydney,Storm,18/2/2017,18/2/2017,N/A,3
Hail - Sydney,New South Wales,Sydney,Storm,9/12/2007,9/12/2007,N/A,30
Hail - Lismore,New South Wales,Lismore (NSW),Storm,8/10/2007,9/10/2007,N/A,17
Hail - Hunter Valley,New South Wales,Sydney,Storm,31/10/2006,31/10/2006,N/A,N/A
Hail - Sydney Hailstorm,New South Wales,Sydney,Storm,25/4/2015,25/4/2015,N/A,N/A
Hail - Lake Grace,Western Australia,Bunbury,Storm,16/10/2005,16/10/2005,N/A,N/A
Storm - Severe storm Sydney,New South Wales,Sydney,Storm,16/12/2015,,N/A,N/A
Hail - Gold Coast ,Queensland,Brisbane,Storm,12/10/2005,12/10/2005,N/A,N/A
Hail - Brisbane,Queensland,Brisbane,Storm,19/5/2005,19/5/2005,N/A,N/A
Hail - South East Queensland,Queensland,"Brisbane , Bundaberg , Lismore (QLD)",Storm,24/1/2004,31/1/2004,1,3
Hail - Sydney,New South Wales,Sydney,Storm,14/4/1999,14/4/1999,1,50
Hail - Brisbane and Region,Queensland,Brisbane,Storm,16/12/1998,16/12/1998,N/A,N/A
Hail - Singleton,New South Wales,Sydney,Storm,11/12/1996,11/12/1996,N/A,N/A
Hail - Armidale and Tamworth,New South Wales,Tamworth,Storm,29/9/1996,29/9/1996,N/A,10
Hail - Brisbane and South East Queensland,Queensland,Brisbane,Storm,3/11/1995,6/11/1995,1,N/A
Hail - Adelaide,South Australia,Adelaide,Storm,22/1/1991,22/1/1991,N/A,N/A
Hail - Western Sydney,New South Wales,Sydney,Storm,18/3/1990,18/3/1990,N/A,25
Hail - Western Sydney,New South Wales,Sydney,Storm,3/10/1986,3/10/1986,N/A,10
Hail - Orange,New South Wales,Dubbo,Storm,21/1/1986,21/1/1986,N/A,N/A
Hail - Brighton ,Queensland,Brisbane,Storm,16/12/1980,16/12/1980,N/A,N/A
Hail - Port Broughton,South Australia,Whyalla,Storm,14/11/1979,14/11/1979,N/A,71
Hail - Toowoomba,Queensland,Brisbane,Storm,9/1/1976,9/1/1976,N/A,N/A
Hail - Sydney,New South Wales,Sydney,Storm,1/1/1947,1/1/1947,N/A,300
Severe Storm - Melbourne,Victoria,Melbourne,Storm,25/12/2011,26/12/2011,N/A,N/A
"Severe Storm - Melbourne, Victoria",Victoria,Melbourne,Storm,4/2/2011,6/2/2011,N/A,1
Severe Storm - Perth,Western Australia,Perth,Storm,22/3/2010,22/3/2010,N/A,N/A
"Severe Storm - Melbourne, Victoria",Victoria,Melbourne,Storm,6/3/2010,7/3/2010,N/A,N/A
Severe Storm - South East Queensland,Queensland,Brisbane,Storm,16/11/2008,22/11/2008,1,N/A
Severe Storm - Southern States Windstorms,"South Australia , Tasmania , Victoria","Adelaide , Mount Gambier (SA) , Murray Bridge (SA) , Hobart , Launceston , Melbourne",Storm,2/4/2008,2/4/2008,2,N/A
Severe Storm - South East Queensland and Northern New South Wales,Queensland,"Brisbane , Bundaberg , Lismore (QLD) , Roma",Storm,7/10/2007,12/10/2007,N/A,N/A
Severe Storm - New South Wales East Coast Low,New South Wales,Sydney,Storm,8/6/2007,10/6/2007,9,N/A
Severe Storm - Northern New South Wales,New South Wales,Lismore (NSW),Storm,30/6/2005,30/6/2005,1,N/A
Severe Storm - Bunbury and South Perth,Western Australia,"Bunbury , Perth",Storm,16/5/2005,16/5/2005,N/A,N/A
"Severe Storm - New South Wales, Victoria, Australian Capital Territory, Tasmania and South Australia","New South Wales , Australian Capital Territory , Victoria , South Australia","Sydney , Wollongong , Canberra (ACT) , Cooma (VIC) , Adelaide , Melbourne",Storm,1/2/2005,3/2/2005,N/A,N/A
"Severe Storm - South East Queensland, Northern New South Wales, Northern Western Australia. Northern Territory","Queensland , New South Wales , Western Australia , Northern Territory","Brisbane , Lismore (NSW) , Broome , Katherine",Storm,3/3/2004,31/3/2004,3,N/A
Severe Storm - South Eastern Australia,"New South Wales , Australian Capital Territory , Victoria , Tasmania","Sydney , Wollongong , Canberra (ACT) , Cooma (VIC) , Warrnambool (VIC) , Wilsons Promontory , Hobart , Melbourne",Storm,24/8/2003,24/8/2003,1,4
Severe Storm - Sydney,New South Wales,Sydney,Storm,16/2/2002,16/2/2002,N/A,N/A
"Severe Storm - Grafton, Kingscliff and Lismore",New South Wales,Lismore (NSW),Storm,16/1/2002,16/1/2002,N/A,N/A
"Severe Storm - Sydney, Hunter Valley and Northern Regions",New South Wales,"Sydney , Tamworth , Wollongong",Storm,3/12/2001,3/12/2001,2,N/A
Severe Storm - Eastern New South Wales,New South Wales,Sydney,Storm,18/11/2001,21/11/2001,3,N/A
Severe Storm - Casino and Region,New South Wales,Lismore (NSW),Storm,17/1/2001,17/1/2001,N/A,N/A
Severe Storm - Sydney and Region,New South Wales,"Sydney , Wollongong",Storm,15/1/2001,15/1/2001,N/A,N/A
Storm - Melbourne,Victoria,Melbourne,Storm,27/8/2020,27/8/2020,3,N/A
Severe Storm - Dubbo,New South Wales,Dubbo,Storm,6/1/2001,6/1/2001,N/A,N/A
"Severe Storm - Sydney, Wollongong and South Coast ",New South Wales,"Sydney , Wollongong",Storm,24/10/1999,24/10/1999,N/A,N/A
Severe Storm - Kosciuszko NP ,New South Wales,Cooma (NSW),Storm,7/8/1999,11/8/1999,4,N/A
Severe Storm - Warwick ,Queensland,"Brisbane , Lismore (QLD)",Storm,13/10/1998,13/10/1998,N/A,N/A
"Severe Storm - Hunter Valley, Tablelands and Southern Highlands",New South Wales,"Sydney , Wollongong",Storm,23/6/1998,24/6/1998,1,N/A
Severe Storm - Ipswich,Queensland,Brisbane,Storm,10/4/1998,10/4/1998,3,N/A
Severe Storm - Sydney,New South Wales,Sydney,Storm,9/4/1998,10/4/1998,1,N/A
Severe Storm - Sydney and Regions,New South Wales,"Dubbo , Sydney , Tamworth",Storm,4/2/1998,4/2/1998,N/A,1
Severe Storm - Nyngan,New South Wales,Bourke,Storm,5/1/1998,5/1/1998,N/A,1
Severe Storm - Coffs Harbour,New South Wales,Tamworth,Storm,23/11/1996,23/11/1996,1,N/A
Storm - Queensland Floods and Storms,Queensland,Central and South East Queensland,Storm,31/10/2020,31/10/2020,N/A,N/A
Severe Storm - New England and Hunter Valley,New South Wales,"Sydney , Tamworth",Storm,17/11/1996,17/11/1996,1,N/A
Severe Storm - Illawarra and Sydney,New South Wales,"Sydney , Wollongong",Storm,31/8/1996,31/8/1996,N/A,N/A
Severe Storm - Hunter Valley and Mid North Coast,New South Wales,Sydney,Storm,30/11/1995,30/11/1995,N/A,N/A
Severe Storm - Sydney and Blue Mountains ,New South Wales,Sydney,Storm,20/11/1994,20/11/1994,2,2
Severe Storm - South Eastern Australia,"New South Wales , Australian Capital Territory , Victoria","Sydney , Canberra (ACT) , Melbourne",Storm,6/11/1994,8/11/1994,1,50
"Severe Storm - Perth, Mandurah and South-West Coast",Western Australia,"Bunbury , Geraldton , Perth",Storm,23/5/1994,24/5/1994,N/A,N/A
Severe Storm - Sydney,New South Wales,Sydney,Storm,12/2/1992,13/2/1992,N/A,1
Severe Storm - Orbost,Victoria,Cooma (VIC),Storm,24/1/1991,24/1/1991,N/A,N/A
Severe Storm - Sydney,New South Wales,Sydney,Storm,21/1/1991,21/1/1991,1,100
Severe Storm - Ballarat,Victoria,Melbourne,Storm,16/11/1989,16/11/1989,N/A,N/A
Severe Storm - Adelaide,South Australia,Adelaide,Storm,6/12/1986,8/12/1986,N/A,N/A
"Severe Storm - Newcastle, Sydney, Wollongong",New South Wales,"Sydney , Wollongong",Storm,10/2/1978,11/2/1978,N/A,8
Severe Storm - Sydney,New South Wales,Sydney,Storm,21/1/1977,21/1/1977,1,N/A
Severe Storm - Western Sydney,New South Wales,Sydney,Storm,9/11/1976,9/11/1976,N/A,10
Storm - Brisbane,Queensland,Brisbane,Storm,27/11/2014,27/11/2014,N/A,N/A
Severe Storm - Sydney,New South Wales,Sydney,Storm,25/1/1937,25/1/1937,4,N/A
Storm - Victoria,Victoria,Melbourne and surrounds,Storm,28/10/2021,8/11/2021,N/A,N/A
Storm - South Australia,South Australia,Adelaide,Storm,28/10/2021,29/10/2021,N/A,N/A
Storm - Sydney Hailstorm,New South Wales,Sydney,Storm,14/4/1999,14/4/1999,1,50
Maritime/Coastal - Lake Illawarra,Tasmania,Hobart,Maritime/Coastal,5/1/1975,5/1/1975,12,
"Maritime/Coastal - AHS Centaur sinking, Cape Moreton ",Queensland,Brisbane,Maritime/Coastal,14/5/1943,14/5/1943,268,N/A
Maritime/Coastal - Iron Crown steamship Sinking,Victoria,Cooma (VIC),Maritime/Coastal,4/6/1942,4/6/1942,37,5
Maritime/Coastal - Sydney to Hobart Yacht Race ,Victoria,Bass Strait,Maritime/Coastal,26/12/1998,30/12/1998,6,70
Shipwreck - Sierra Nevada,Victoria,Wilsons Promontory,Maritime/Coastal,9/5/1900,9/5/1900,23,N/A
Shipwrecks - Richmond River Ballina,New South Wales,Lismore (NSW),Maritime/Coastal,28/09/1850,28/09/1850,N/A,N/A
"Shipwreck - Toroa Shipwreck, Victoria 1858",Victoria,Cape Otway,Maritime/Coastal,6/08/1858,,12,N/A
Shipwreck - Koenig Willem ll,South Australia,Mount Gambier (SA),Maritime/Coastal,30/06/1857,30/06/1857,16,N/A
Shipwreck - Sally,Tasmania,Launceston,Maritime/Coastal,30/06/1826,30/06/1826,13,N/A
Shipwreck - Ly-Ee-Moon,New South Wales,Cooma (NSW),Maritime/Coastal,30/05/1886,30/05/1886,71,16
Shipwreck - Sea,Victoria,Wilsons Promontory,Maritime/Coastal,30/05/1853,30/05/1853,24,N/A
Shipwreck - Ecliptic,Victoria,Wilsons Promontory,Maritime/Coastal,30/03/1874,30/03/1874,8,1
Shipwreck - Creole,Tasmania,Launceston,Maritime/Coastal,29/08/1863,29/08/1863,29,N/A
Shipwreck - Rebecca,Tasmania,Hobart,Maritime/Coastal,29/04/1853,29/04/1853,6,N/A
Shipwreck - Alert,Victoria,Wilsons Promontory,Maritime/Coastal,28/12/1893,28/12/1893,15,1
Shipwreck - Glimpse,Tasmania,Launceston,Maritime/Coastal,28/08/1863,28/08/1863,5,N/A
Shipwreck - Maypo,Tasmania,Hobart,Maritime/Coastal,28/05/1855,28/05/1855,4,N/A
Shipwreck - Frisk,Victoria,Wilsons Promontory,Maritime/Coastal,28/05/1853,28/05/1853,5,N/A
Shipwreck - Marmion,Victoria,Wilsons Promontory,Maritime/Coastal,28/05/1853,28/05/1853,4,N/A
Shipwreck - Vergulde Draeck,Western Australia,Perth,Maritime/Coastal,28/04/1656,28/04/1656,100,N/A
Shipwreck - Quetta ,Queensland,Cairns,Maritime/Coastal,28/02/1890,28/02/1890,133,158
Shipwreck - Governor Phillip,Tasmania,Launceston,Maritime/Coastal,27/10/1848,27/10/1848,16,N/A
Shipwreck - Echo,Tasmania,Hobart,Maritime/Coastal,27/08/1840,27/08/1840,3,N/A
Shipwreck - Lady Franklin,Tasmania,Hobart,Maritime/Coastal,27/04/1838,27/04/1838,15,N/A
Shipwreck - Tubal Cain,Victoria,Wilsons Promontory,Maritime/Coastal,26/08/1862,26/08/1862,12,1
Shipwreck - Pandora ,Queensland,Cairns,Maritime/Coastal,26/08/1791,26/08/1791,35,91
Shipwreck - Thetis,Victoria,Wilsons Promontory,Maritime/Coastal,26/05/1848,26/05/1848,4,20
Shipwreck - HMS Pelorus,Northern Territory,Darwin,Maritime/Coastal,25/11/1839,25/11/1839,12,N/A
Shipwreck - Trial (Tryal),Western Australia,Dampier,Maritime/Coastal,25/05/1622,25/05/1622,95,N/A
Shipwreck - Revenge,New South Wales,Wollongong,Maritime/Coastal,25/03/1862,25/03/1862,4,N/A
"Shipwreck - Lily of the Lake, Wild Wave, Blossom",Western Australia,Exmouth Gulf,Maritime/Coastal,24/12/1875,24/12/1875,57,N/A
Shipwreck - Haweis ,New South Wales,Sydney,Maritime/Coastal,24/10/1829,24/10/1829,11,N/A
Shipwreck - Lady Bird and Champion,Victoria,Wilsons Promontory,Maritime/Coastal,24/08/1857,24/08/1857,32,N/A
Shipwreck - Meg Merrilies,Victoria,Wilsons Promontory,Maritime/Coastal,24/05/1856,24/05/1856,4,N/A
Shipwreck - Gothenburg ,Queensland,Ayr,Maritime/Coastal,24/02/1875,24/02/1875,102,N/A
Shipwreck - Brothers,New South Wales,Sydney,Maritime/Coastal,23/12/1837,23/12/1837,3,N/A
Shipwreck - Bogong,Victoria,Cooma (VIC),Maritime/Coastal,23/09/1896,23/09/1896,4,3
Shipwreck - British Admiral,Victoria,Wilsons Promontory,Maritime/Coastal,23/05/1874,23/05/1874,79,9
"Shipwreck - Highlander, Baruah, Elizabeth Jane, Effort and Pelican.",New South Wales,Sydney,Maritime/Coastal,22/06/1852,23/06/1852,7,N/A
Shipwreck - Broome and Region,Western Australia,Broome,Maritime/Coastal,22/04/1887,22/04/1887,140,N/A
Shipwreck - Canmore,New South Wales,Sydney,Maritime/Coastal,21/10/1854,21/10/1854,7,2
Shipwreck - Moolgewanke,South Australia,Murray Bridge (SA),Maritime/Coastal,21/07/1874,21/07/1874,3,1
Shipwreck - Brahmin,Tasmania,Launceston,Maritime/Coastal,21/05/1854,21/05/1854,17,N/A
Shipwreck - Edward,Tasmania,Launceston,Maritime/Coastal,21/05/1842,21/05/1842,8,N/A
